talemaade_udtryk	A	B	C	D
hu hej vilde dyr	bruges for at udtrykke at noget foregår med stor fart, eller at noget haster	fra en ubehagelig eller uønsket situation til én der er endnu værre	bruges som advarsel mod faretruende dyr	ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.
toppen af isbjerget	man bør holde det morsomme og det alvorlige ved en sag adskilt	en synlig del af noget der ellers ikke kan ses	den del af et isbjerg der befinder sig over havets overflade	en lille del af noget meget større, ofte noget ubehageligt
hver fugl synger med sit næb	besnære nogen så vedkommende gør hvad man ønsker	fugle bruger både deres stemme og næb til at frembringe lyde	enhver har sin særegne måde at udtrykke sig på	alle mennesker har en unik stemme
slå koldt vand i blodet	dæmpe sin ophidselse eller begejstring; tage det roligt	røre koldt vand i blodet under tilberedning af blodpølse	holde en lang pause i en talestrøm	begynde på at gøre noget
når der er to torsdage i en uge	når man vælger at kalde to af ugens dage for torsdag	bruges for at udtrykke at noget er helt usandsynligt	når noget har ændret sig radikalt	true med anvendelse af (militære eller politiske) magtmidler
krig på kniven	være i en tilstand af stor nydelse eller stor smerte	bruges for at udtrykke at der er fest og gang i den	situation med skærpet konkurrence eller fjendtlighed mellem to parter	en krig der foregår på en kniv
med et glimt i øjet	med et sted i øjet der fanger lyset	uden at fortælle hele sandheden	med udstråling af humor og afslappet indstilling	hjælpe sig selv eller en anden ud af en ubehagelig eller vanskelig situation
kunne bide tungen af sig selv	gøre den største og mest besværlige del af arbejdet	kunne tvinge sig selv til at gøre noget ubehageligt	fortryde at have sagt en bestemt bemærkning	både have skarpe tænder og så utilstrækkelig kontrol over sine bevægelser at det er muligt at bide tungen af sig selv
man kan ikke både blæse og have mel i munden	man kan ikke på samme tid gøre to ting der er indbyrdes forskellige eller uforenelige	ikke få mindste mulighed for at klare sig	koncentration betaler sig	det er svært at fløjte hvis man har mel i munden
man har et standpunkt til man tager et nyt	omstændighederne kan gøre det nødvendigt, relevant eller praktisk (pludselig) at skifte mening eller holdning	et indirekte, men tydeligt tegn til nogen om at forholde sig på en bestemt måde eller om hvordan noget forholder sig; et tydeligt praj	man kan godt ændre mening	man kan ikke altid regne med at det der bliver sagt, er rigtigt
være en hund efter noget	have stor interesse for eller lyst til noget	bevæge sig som en hund der jagter noget	noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng	være ophidset og utålmodig
der går et lys op for nogen	nogen forstår eller erkender pludselig	et lys bevæger sig opad lige foran nogen	(forsøge at) forstærke virkningen af noget	bruges for at udtrykke bedring efter lang tids psykisk sygdom
sælge nogen en trepattet ko	overtale nogen til at prøve noget nyt	være den der udtænker, planlægger og styrer udførelsen af en idé	sælge nogen en ko med kun tre patter	få nogen til at acceptere noget ved at foregive at det er noget andet end det er; snyde nogen
gøre en myg til en elefant	påvirke en persons opvækst; forme en person over en længere periode	drikke og more sig uden for sit eget hjem	overdrive; tillægge en lille sag (for) stor betydning	lyve om størrelsen på en myg
gå over åen efter vand	undgå at træde i vandpytter	vide hvordan et problem løses, eller hvordan noget gøres på den rigtige måde, fx hvordan samfundsgoder eller løn fordeles mest retfærdigt	gøre noget mere besværligt end man behøver; udføre unødvendigt arbejde	krydse en å for at hente vand i den
ingen kan tjene to herrer	med nød og næppe; kun lige akkurat	man er nødt til at træffe et valg; man kan ikke gå aktivt og helhjertet ind for flere helt forskellige sager	man kan ikke arbejde for to chefer samtidig	man skal undgå at påtage sig mere arbejde end man kan overkomme
bide tænderne sammen	hidse nogen op; gøre nogen vred	tage sig sammen og undertrykke sine egentlige følelser for at klare en vanskelig situation	gøre sig umage med at tale et fremmedsprog	bide sammen så tænderne i overmunden rammer tænderne i undermunden
skulle have noget ind med skeer	skulle mades med ske	skulle have noget forklaret på en langsom og udførlig måde (fordi man er langsomt opfattende)	blive drænet for kræfter med en mærkbar nedgang i fysisk præstation til følge	være meget opmærksom på hvad man spiser og drikker, fx fordi man er kræsen eller ønsker at leve sundt
lægge hovedet i blød	være snu og udspekuleret	tænke sig godt om for at finde en løsning eller få en idé	lægge et hoved i en væske	hvile sig efter at have færdiggjort en (intellektuelt krævende) arbejdsopgave
pynte sig med lånte fjer	noget tager så lang tid at man ikke når det mål man har sat sig	pynte sit tøj (eller sin hat) med fjer man har lånt	tage æren for andres præstationer	låne tøj til en festlig lejlighed frem for at købe nyt
det er mig, sagde hunden	modne og ældre personer (med gråt hår) betragtet som værdifuld arbejdskraft, fx pga. deres erfaring og stabilitet	bruges som bagatelliserende udtryk når man nævner sig selv i en sammenhæng hvor også andre indgår	en hund udtalte ordene "det er mig"	bruges for at udtrykke at man føler sig overset
gå op i hat og briller	udvikle sig i en utilsigtet, ofte løssluppen eller komisk retning	gå op i hvordan ens hat og briller ser ud	vende rundt på meget begrænset plads; behøve meget lidt plads for at kunne manøvrere	være (overdrevent) forfængelig og gå op i især makeup og accessories
stå med håret i postkassen	bruges for at udtrykke den opfattelse at det er bedre at tage chancer, leve livet fuldt ud og give efter for sine lyster end søge tryghed og faste rammer, også selvom man derved sætter livet på spil og risikerer at dø i en ung alder	skjule sin lange hoved- eller ansigtsbehåring under en hat, et tørklæde eller lignende	være fanget fordi ens lange hoved- eller ansigtsbehåring sidder fast i en postkasses sprække	være i en problematisk situation hvor man føler sig magtesløs, evt. som følge af at man er blevet skuffet, svigtet eller narret
smile i skægget	gang i noget der har voldt besvær eller været et problem	have det roligt og hyggeligt; føre sig godt tilpas	smile på en måde så ens skæg bevæger sig	more sig på en underfundig eller skadefro måde
gyde olie på vandene	opildne til konflikt	ærgre sig over noget eller være ked af noget	dæmpe ophidselse og strid	hælde olie på flere forskellige vandoverflader
den der graver en grav for andre, falder selv i den	før eller siden falder man ned i den grav man har gravet for en anden	sortere de(t) gode fra de(t) dårlige	den person der lægger planer om at narre eller skade en anden, risikerer selv at blive offer for disse planer	før eller siden bliver man indhentet af sin fortid
lykken står den kække bi	vejen til lykken går via hårdt arbejde	en modig person bliver ofte lykkelig	dristige, frejdige mennesker er ofte også heldige	uden at gå i detaljer
kræve nogens hoved på et fad	ondt i hovedet; tømmermænd	kræve at nogen bliver straffet, afskediget eller lignende (pga. en forseelse)	kræve nogens hoved bragt til én på et fad	offentligt udstille nogens dårlige opførsel
bringe blodet i kog	have en mængde blod i en gryde som man bringer i kog	få varmen efter at have frosset	kun snakke om noget i stedet for at handle	gøre rasende eller (seksuelt) ophidset
tage bladet fra munden	handle overilet, især i forbindelse med anskaffelse af noget	sige sin mening rent ud	fjerne et blad fra sin mund	se forfærdelig ud
kolos på lerfødder	større (tung) kage, fx en lagkage, serveret på et fad af keramik	noget stort som udadtil virker solidt og magtfuldt, men som i virkeligheden er skrøbeligt	være glad for motorkøretøjer og for at køre (stærkt) i dem	statue af ler
slå ind på en anden vej	følge en anden vej end tidligere	handle anderledes end man er blevet rådet til	og så er der ikke yderligere forhold at tage i betragtning; og så er den sag afgjort	ændre sin tilgang eller måde at agere på i forhold til et bestemt mål, typisk som reaktion på uventede omstændigheder eller for at opnå bedre resultater
støbe kuglerne	udtænke måder at skade andre på	der dukkede pludselige eller uforudsete forhindringer op	fremstille ammunition til skydevåben	være den der udtænker, planlægger og styrer udførelsen af en idé
have krudt i røven	medtage fyrværkeri i sine baglommer	gå med pistol eller gevær; være bevæbnet	være klar over den aktuelle situation	fare omkring; være meget foretagsom
ikke have en snebolds chance i helvede	tænke sig godt om for at finde en løsning eller få en idé	ikke kunne undgå at tø	ikke være den mindste smule interesseret	ikke have den mindste chance for noget
når katten er ude, spiller musene på bordet	når katten ikke er i huset, spiller musene et spil på bordet	når der ikke umiddelbart er tegn på fare, kan man godt tillade sig at slappe af	undlader man at holde opsyn, fører det til kåd opførsel og uorden	nogen er meget nervøs og anspændt
stirre sig blind på noget	pleje sine egne interesser	koncentrere sig så meget om noget at man mister overblikket eller bliver ude af stand til at tage andre forhold i betragtning	blive vred over en hændelse, situation ellerlign.	se så længe på noget (fx Solen) at man kortvarigt mister synet
der er løbet meget vand i stranden siden ..	meget vand er løbet forbi en strand i en specifik tidsperiode	folk bliver betjent i den rækkefølge de henvender sig	mennesker ændrer sig over tid	der er sket meget siden ..; der er gået lang tid siden ..
slå til skaglerne	slå let på nogle reb, fx på en båd	skubbe til noget så det vælter	overordentlig begejstret for skuespil	slå sig løs og more sig
øje for øje, tand for tand	tilbundsgående medicinsk undersøgelse der har til formål at afdække en persons aktuelle fysiske tilstand	hævnprincip der går ud på at man skal begå samme type skadelige handling mod nogen som vedkommende har begået mod en selv	som bevæger sig fremad på meget forsigtig og påpasselig måde	bruge (mange) penge
håbet er lysegrønt	det er menneskets natur at bevare optimismen og se det positive	lægge planer i hemmelighed eller fortrolighed; hviske (bag nogens ryg); træffe aftaler	håb associeres med farven lysegrøn	naturen er menneskehedens eneste redning
vende og dreje hver femøre	være meget nærig; overveje sit pengeforbrug meget nøje	med udstråling af humor og afslappet indstilling	vende og dreje hver mønt man har	være meget sparsommelig
proppe noget ned i halsen på nogen	overtale nogen til at gøre noget de ikke har lyst til	påtvinge nogen noget	have en ydmyg, fx anmodende, bedende eller tiggende rolle	(med vold) tvinge en fødevare i en anden person
tale for sin syge moster	være i en tilstand præget af forvirring, ophidselse, travlhed eller hektisk aktivitet	snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende	fortælle (for) detaljeret om et familiemedlems sygdomsforløb	tale på en måde der er komplet uforståelig for andre; vrøvle
